"","census_tract","corr"
"1419","B07001_006",0.403905074921174
"2785","B08128_017",0.403846777353625
"15694","B27001_016",0.403030674405659
"16150","B28008_006",0.402661069158058
"6458","B17022_062",0.402389006810014
"12641","B25074_047",0.401970099711139
"13443","B25122_087",0.401970099711139
"13736","B25127_065",0.401771612897507
"2237","B08011_023",0.401725693706103
"6462","B17022_066",0.401494904409399
"8133","B23010_003",0.401279097345502
"7548","B20005_071",0.401233202475579
"12558","B25070_002",0.399784974016318
"5119","B14003_029",0.399628626464601
"2142","B08006_020",0.399509113648991
"12886","B25095_044",0.399286859355412
"8416","B24012_052",0.398595010284179
"13580","B25125_021",0.398357860125686
"11","B01001_012",0.398104180900888
"6759","B18103_017",0.397920879380824
"13589","B25125_030",0.397761691519419
"8440","B24021_004",0.397569475061065
"6576","B17024_066",0.397537983880461
"13356","B25121_105",0.396816488833644
"12745","B25087_016",0.396694057704229
"12840","B25094_015",0.396694057704229
"16050","B28002_002",0.396479104734872
"16161","B28011_002",0.396479104734872
"6794","B18104_014",0.395795111111973
"6016","B17010_022",0.395058211771863
"6057","B17012_019",0.395058211771863
"6091","B17013_019",0.395058211771863
"6125","B17014_019",0.395058211771863
"6165","B17015_025",0.395058211771863
"6211","B17016_025",0.395058211771863
"6309","B17018_019",0.395058211771863
"6337","B17019_013",0.395058211771863
"6495","B17023_019",0.395058211771863
"6792","B18104_012",0.394605078441025
"6824","B18105_012",0.394605078441025
"6856","B18106_012",0.394605078441025
"7509","B20005_032",0.393346745029229
"355","B04004_070",0.393036546931704
"8080","B23008_018",0.392574726230458
"16052","B28002_004",0.392531645444488
"6978","B19037_014",0.391649912578016
"16055","B28002_007",0.391442933823042
"16163","B28011_004",0.391442933823042
"16310","B99187_007.x",0.391021040755819
"16391","B99187_007.y",0.391021040755819
"4172","B09001_007",0.390816988164926
"5607","B16004_032",0.390665644711165
"16377","B99256_003.x",0.390549348220793
"16458","B99256_003.y",0.390549348220793
"12986","B25101_018",0.390389916481553
"12761","B25087_032",0.389468117816526
"12765","B25087_036",0.389285772305337
"1313","B06009_006",0.389229110415102
"1600","B07009_006",0.389229110415102
"4960","B13010_015",0.388893503063648
"7381","B19325_071",0.388872348756849
"4230","B09019_002",0.388865311822642
"6563","B17024_053",0.388499351771369
"5342","B15002_016",0.387958253840686
"8038","B23007_034",0.387898602181557
"2758","B08126_094",0.387808849153428
"6094","B17013_022",0.38751373954706
"1455","B07001_042",0.387209167976625
"12899","B25095_057",0.386319182686798
"7801","B23001_026",0.385959435244946
"4728","B12002_117",0.385860774849993
"4985","B13014_008",0.385654061503079
"2737","B08126_073",0.385478093136691
"8093","B23009_005",0.385351336098108
"5302","B15001_058",0.385249193787352
"1485","B07001_072",0.385231635363218
"1420","B07001_007",0.384669000179624
"8251","B23026_005",0.384492272908084
"6887","B18107_011",0.384135408060924
"16286","B99172_009",0.383783932275894
"15693","B27001_015",0.383599933692297
"15749","B27002_015",0.383599933692297
"15805","B27003_015",0.383599933692297
"8269","B23026_023",0.382945270098436
"408","B04005_016",0.382605358123296
"15807","B27003_017",0.382394884099178
"8750","B24090_004",0.382343953369414
"9","B01001_010",0.381334916845815
"5270","B15001_026",0.381184721127896
"7547","B20005_070",0.380745071163279
"5344","B15002_018",0.380212304627674
"16208","B99081_005",0.380040252058132
"1673","B07010_044",0.37997381314731
"2775","B08128_007",0.379735295759268
"16064","B28003_004",0.379633430064933
"12239","B25033_005",0.379484931132931
"4467","B11004_007",0.379067629771898
"16043","B28001_005",0.378960331361627
"2538","B08119_017",0.378790645292769
"8644","B24041_022",0.378699340198812
"4263","B09019_035",0.377863913160289
"5015","B13015_012",0.377643081047993
"2734","B08126_070",0.37747187137444
"6683","B18101_017",0.377437418477761
"7091","B19101_017",0.376889136422357
"757","B05006_057",0.37599353017188
"8244","B23025_004",0.37593842973553
"16298","B99183_003",0.375537623025216
"8039","B23007_035",0.374885296029297
"7796","B23001_021",0.374810336960566
"12452","B25056_019",0.374561582617643
"1215","B06001_053",0.374129808395593
"1367","B06010_031",0.373753116895903
"2276","B08012_018",0.373074358096767
"1114","B05013_008",0.372462621493635
"7813","B23001_038",0.371869880707086
"16300","B99184_003",0.371792703009351
"13149","B25114_002",0.37106796983795
"5117","B14003_027",0.371015003947978
"13","B01001_014",0.370852057653109
"8037","B23007_033",0.370183816958408
"4177","B09002_003",0.369515406499815
"7792","B23001_017",0.369223315991022
"8670","B24042_022",0.368052494325368
"15915","B27011_004",0.367938805683577
"8079","B23008_017",0.367479571904292
"8036","B23007_032",0.367426151793776
"7380","B19325_070",0.367023769163805
"1312","B06009_005",0.366964780845689
"1599","B07009_005",0.366964780845689
"5382","B15003_022",0.366964780845689
"33","B01001_034",0.366821016611081
